Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SATB2 OE BEAS2B HUMAN GSE75652 RNASEQ DOWN	42/319	4.316256245066413E-9	2.663683865172731E-8	0	0	3.0571095842552696	58.882612962924625	YWHAE;LRRC59;GRN;HDAC2;DHX9;NUCKS1;KIF11;SOGA1;GNS;DCAF7;CDC20;TMEM123;BCLAF1;RAD21;SUMO2;BUB3;HMGN2;GLUL;CTSC;NSF;SMARCC1;CAVIN1;ALYREF;CMTM6;RFLNB;TUBG1;TUBB4B;CCNA2;ASPM;COL4A2;NCL;PXMP2;UQCRC1;NMT1;SRSF2;SRSF3;NCAPD2;KIF20A;SELENOT;CRK;RBMX;RAB7A
SRF MUT MOUSE GSE1948 CREEDSID GENE 1397 DOWN	29/172	4.327974296564611E-9	2.663683865172731E-8	0	0	4.061320439899443	78.21358416230838	COX7B;YBX1;COX7C;ACTB;RBM3;TUBA1B;PSMD7;GNG5;CFL1;CTSD;EMC8;RAB8A;MARCKSL1;NDUFA7;HSPE1;PRDX6;ATP5F1E;EEF1A1;RPS26;NUDT21;NDUFS6;NCL;CDC37;UBE2N;RNPS1;DCTPP1;SLC25A4;RPS24;CDC42SE2
FOXQ1 OE HUVEC HUMAN GSE79306 RNASEQ DOWN	53/458	4.405317792102112E-9	2.702759437858874E-8	0	0	2.651886779779417	51.02350410565065	YWHAE;LAMC1;YBX1;ACTB;NUDT3;LAPTM4B;UCHL1;RFK;TIMP2;PLS3;TRIM25;KIF1C;CTSD;SOX4;SRRM2;EIF5B;ANXA5;EEF1A1;OXA1L;RCN1;NCL;TOP1;KCTD12;LAP3;PABPC1;PTMA;ARF6;BEX3;GRN;SAR1A;ANP32A;IQGAP1;NID1;RTN4;PDLIM1;TMEM123;DNAJB6;PCBP1;MAPK1;HSPA9;PPP1R14B;MARCKSL1;CAVIN1;HSPA4;NR2F2;RPS26;MARCKS;EIF3E;ANP32B;CALR;ITM2B;RPS24;LIMS1
YBX1 SIRNA MDAMB231 HUMAN GSE79586 RNASEQ UP	50/420	4.729038116352984E-9	2.8922737821331257E-8	0	0	2.734654394090403	52.42207776837267	YWHAE;GMFB;NUCKS1;DCAF7;ACTB;TRIM28;CFL1;PAPOLA;ARL6IP5;QSOX1;CTSD;YWHAG;ANXA5;TGFBR1;DDB1;MYL6;COL4A2;COL4A1;NCL;LCOR;MYH9;TOP1;SNRNP200;ARF6;SNRPB;LRRC59;TMED10;DDX24;SLC20A1;RNF38;GNS;RTN4;TMEM123;ATP5F1B;DNAJB6;EIF4EBP2;IARS2;LDLR;ABCF1;HSPA9;PPIL1;CAVIN1;HSPA4;HMGA2;PDAP1;DHCR24;TUBB4B;SRPK1;GNB2;CALR
PGR KO MOUSE GSE39920 CREEDSID GENE 3079 DOWN	41/308	4.772796949263916E-9	2.9099146400043435E-8	0	0	3.0944174239772786	59.29006934071833	DCTN6;LRRC59;LGALSL;COX7C;ACTB;ADH5;HOXA11;IGF1R;SRM;RBM3;PDLIM1;TUBA1B;SERP1;PCBP1;LAMP2;TIMM17A;PDK3;MSX1;ARGLU1;CTSD;UBQLN2;GSTM3;NDFIP1;MRPS7;HSPE1;PRDX6;CS;PNKD;PSMA2;COL4A1;NCL;SRSF2;GAS1;TSR1;CPE;CYSTM1;ANP32B;DNAJC8;CDC42SE2;LIMS1;SNRPB
E2F2 KD MOUSE GSE24594 CREEDSID GENE 474 DOWN	38/273	5.0529916014072845E-9	3.071148477989287E-8	0	0	3.253606086837669	62.15456556733835	NDUFB10;RPL31;GLDC;MYCBP2;BRK1;RMND5A;PCBP1;ARL6IP5;ELOB;TRIM27;CTSD;CTSC;SRRM2;PTCD3;NDUFA9;EGR1;NDFIP1;NDUFA4;ANXA5;TMA7;TBCA;IGF2R;LSM3;SEM1;SPCS3;LSM8;MYL6;MARCKS;RNF149;COL4A1;CAT;CPE;CYCS;CALR;DNAJC8;TOP1;RAB7A;MAD2L1
BATF KO MOUSE GSE54215 CREEDSID GENE 1522 DOWN	37/262	5.402197025561892E-9	3.27319453318983E-8	0	0	3.3070041592394532	62.95365275942602	KMT2C;PDCD5;FCF1;CSTF2T;MRPL32;ZFP36L2;GNG5;PCBP1;CFL1;TPR;SUMO2;ARL6IP5;DHX15;SRRM2;EGR1;NOP58;IMP3;ATP5PB;NDUFA4;GLRX5;TMA7;ATP1B3;RPS26;RPS25;PINK1;SRSF2;RSRP1;JTB;ERH;ANP32B;PABPC1;EEF1E1;SRSF6;PTMA;ITM2B;RPS24;TOMM5
VDR KO MOUSE GSE2421 CREEDSID GENE 1151 UP	32/206	5.618313837597564E-9	3.393600711192832E-8	0	0	3.688725849841037	70.07558904223097	GRN;NDUFB8;YBX1;GNS;COX5A;RTN4;ATP5IF1;TUBA1B;CHCHD2;SERP1;GNG5;PCBP1;C1QBP;SUMO2;TIMP2;CYC1;CTSC;TMA7;NDUFA1;ATP1B3;TBCA;RPS26;TM9SF2;SEM1;MARCKS;RSRP1;PABPC1;DNAJC8;SNRPC;ITM2B;RPS24;COPS9
CTCF SIRNA HEK293 HUMAN GSE44267 RNASEQ DOWN	47/384	5.686344705573376E-9	3.424092135979524E-8	0	0	2.8181153260085012	53.502478020345976	LRRC59;KMT2D;SLC35B4;GMFB;TTYH3;RBM8A;DDX24;GSTP1;IRS4;MRI1;NUCKS1;LAMC1;YBX1;RPAP2;RTN4;ATP5IF1;PNN;RPL36AL;PCBP1;EP400;PLS3;EIF4EBP2;CTSD;SRRM2;SPEN;EIF5B;DFFA;EIF1AX;EDF1;PA2G4;RRP1B;TUBG1;TUBB4B;RCN1;POLR3A;MTHFD1;TMX1;NCL;LCOR;CALR;SRSF6;SNRNP200;LZTR1;SLC25A5;PTMA;RABL6;RNF187
VDR KO MOUSE GSE2421 CREEDSID GENE 1153 DOWN	39/286	5.724116125232973E-9	3.4362309416398554E-8	0	0	3.178371974953461	60.3209794481143	CSTB;FEN1;GRN;NDUFA11;UQCR10;GNS;COX5A;ACTB;PSMD8;PSMB6;CHCHD2;ATP5F1B;PSMB3;C1QBP;LAMP2;CFL1;CTSD;ATP6V1C1;COX8A;GDF15;ANXA5;NDUFA1;ATP1B3;ATP5F1E;IGF2R;DDOST;COX6B1;EEF1A1;MYL6;SPCS2;SMDT1;PPA1;SBDS;NDUFS3;CALR;PABPC1;SLC25A5;PTMA;RAB7A
ARX KO MOUSE GSE12609 CREEDSID GENE 27 DOWN	40/298	5.781392826037343E-9	3.4599685287113055E-8	0	0	3.1224007718667863	59.22763750713001	YWHAE;HDAC2;ANP32A;PSMD14;ROCK1;CTBP1;FOXG1;DDX1;NUCKS1;SMC3;SHB;IPO7;PPM1G;TMEM123;BCLAF1;TRIM28;RPL36AL;PCBP1;RAD21;CFL1;TPR;ZC3H15;HNRNPA0;RPS26;CCNA2;MARCKS;MEX3A;MAF;NCL;CKS2;EIF3E;ANP32B;GLCCI1;PABPC1;MCM6;TOP1;SRSF6;PTMA;EIF3A;MAD2L1
YY2 KD HUMAN GSE14964 CREEDSID GENE 517 DOWN	49/410	5.938081322487222E-9	3.542873596383049E-8	0	0	2.7451223428360487	51.9977773594042	STEAP4;RTL6;GHITM;PRPF19;IPO7;YY1;LAPTM4B;MRPL3;SNRPD1;C1QBP;SPIN1;DHX15;UQCRFS1;HMGN2;TEAD1;SUPT16H;PARP1;HLA-A;OXA1L;RCN1;MTHFD1;NCL;JTB;MCM6;SRSF6;SLC25A5;SNRPB;SF3B5;GRN;ANP32A;IQGAP1;PDLIM1;TMEM123;ATP5F1B;TMEM203;RAD21;PCBP1;CYC1;HNRNPA0;ABCF1;DHCR24;CS;RPS26;RPS25;SPCS1;EIF2S3;RNPS1;ANP32B;RTL8C
HOXB4 INDUCTION MOUSE GSE9044 CREEDSID GENE 165 DOWN	31/196	6.252459147838993E-9	3.719069450437157E-8	0	0	3.76616107944482	71.1438786943645	SRP19;FEN1;PSMD14;NUCKS1;HMGB1;YBX1;PSMA7;CDC20;PSMB6;GJA1;PSMB4;CHCHD2;PSMB3;DHX15;SRRM2;PBDC1;SHISA2;TVP23B;APRT;RPS26;EEF1A1;RPS25;SPCS3;NUDT21;CKS2;SRSF3;RNPS1;EIF3E;ANP32B;SNRPF;PTMA
MBD2 KD HMLER HUMAN GSE63234 RNASEQ DOWN	44/348	6.505118514914883E-9	3.857594596534631E-8	0	0	2.920315335753176	55.04991969008223	ANP32A;DDX24;RPL31;SLC20A1;GSTP1;IQGAP1;YBX1;ACTB;ATP5F1B;TRIM28;POLR2A;STC2;CFL1;COTL1;ABCF2;GLUL;YWHAG;SRRM2;HSPA9;SUPT16H;PARP1;CAVIN1;XRCC5;TPM3;PDAP1;DHCR24;TUBB4B;HSPE1;IGF2R;RPS26;CS;DDB1;EEF1A1;RPS25;EIF3K;POLR1A;NCL;MYH9;UQCRC2;PABPC1;TLN1;SNRNP200;SLC25A5;PTMA
PITX2 KO MOUSE GSE50399 CREEDSID GENE 3058 DOWN	24/125	6.719582196003481E-9	3.972698443758422E-8	0	0	4.744203534277478	89.27756004110776	GCDH;ECHS1;NDUFB10;NDUFA4;ATP5PB;NDUFA1;HSPE1;COX5A;ACTB;COX6B1;RPS25;PSMB7;CHCHD2;TUBA1B;NDUFS8;ATP5F1B;BDH1;CAT;ATP5PO;CYCS;UQCRC2;CYC1;SLC25A4;TOMM5
NFIA DEFICIENCY MOUSE GSE4623 CREEDSID GENE 667 UP	34/230	6.937605109253432E-9	4.0892047033696206E-8	0	0	3.482703102562987	65.42713736129308	SAR1A;NDUFB6;YBX1;RNF5;ACTB;ATP5IF1;PSMB6;RBM3;UCHL1;TUBA1B;PGRMC1;TRIM28;GNG5;PSMB3;PCBP1;SOX4;SMARCC1;PPP1R14B;MARCKSL1;NDUFA7;HSBP1;RPS26;EEF1A1;COPS6;MARCKS;NCL;GNB2;SRSF2;ERH;PABPC1;SELENOT;SRSF6;PTMA;RPS24
FOXA2 KD DEC HUMAN GSE44875 RNASEQ DOWN	49/413	7.545916225526605E-9	4.434362215663375E-8	0	0	2.7220601716809734	50.90867520808377	YWHAE;GMFB;SLC44A1;NUCKS1;CWC27;DCAF7;IGF1R;LAPTM4B;GJA1;ZIC3;SALL4;GLUL;SOX4;YWHAG;ABCC4;TPM3;MRPS6;COL4A2;COL4A1;PSME4;ARF5;BEX3;HDAC2;TMED10;ANP32A;GSTP1;ATXN7L3B;SEMA3E;IQGAP1;SLC5A3;ADH5;PDLIM1;SLC9A3R1;TMEM123;PRR14L;RAD21;PCBP1;NDFIP1;HSPA4;SMARCA5;SREK1IP1;HMGA2;TBCA;SPCS3;MARCKS;RAD50;MEX3A;CPE;EIF3E
NCOA2 KO MOUSE GSE41558 CREEDSID GENE 3047 UP	34/231	7.763998401818603E-9	4.548817081666095E-8	0	0	3.4648404099877697	64.701627281061	ISCA1;NDUFB8;ECHS1;NDUFB10;MRPS36;COX5A;PRDX3;CHCHD2;ATP5F1B;GRPEL1;PCBP1;C1QBP;UQCRFS1;CYC1;NDUFA9;NDUFA6;ATP5PB;NDUFA4;GLRX5;COQ9;COX6B1;CS;PINK1;SUCLA2;BDH1;KLF9;UQCRC1;ATP5PO;NDUFS3;CYCS;SUCLG1;UQCRC2;SLC25A5;SLC25A4
NCOA2 KO MOUSE GSE41558 CREEDSID GENE 46 DOWN	42/326	8.251010903024198E-9	4.8196773268862904E-8	0	0	2.9806451612903224	55.47854007101826	GRN;NDUFA11;NDUFB6;GSTP1;LDB3;NID1;ATP5IF1;LAPTM4B;GJA1;RPL36AL;LAMP2;SPTSSA;PPP1R14C;FUCA2;ANXA5;TMA7;EDF1;MRPS6;ATP5F1E;HIGD2A;RPS26;EEF1A1;MYL6;MARCKS;CNIH1;TSPAN13;COL4A2;REEP5;EIF3K;COL4A1;NDUFS6;DAD1;GAS1;CPE;EIF3E;CALR;PABPC1;DYNLRB1;PTMA;ITM2B;RPS24;PPIC
ZNF148 KD HUMAN GSE31092 CREEDSID GENE 2162 DOWN	39/291	9.355073212300882E-9	5.44828293647732E-8	0	0	3.1144796611034553	57.57846637885852	BEX3;TXNDC9;PSMD14;DDX1;MRPL19;YBX1;RTN4;PRDX3;PRDX2;PSMB7;SERP1;PCBP1;PSMB1;DHX15;TIMM17A;CYC1;PTCD3;NDUFA9;GABARAPL2;RFC3;MARCKSL1;NDFIP1;XRCC5;GDF15;GLRX5;TUBB4B;MED28;TSPAN13;SCD;CAT;SRSF2;MCM6;SNRPC;SLC25A5;MMADHC;ITGB3BP;EIF3A;LIMS1;NUP37
MITF KD 501MEL HUMAN GSE61966 RNASEQ UP	46/378	9.901524988020202E-9	5.7493676344129205E-8	0	0	2.7974186161492622	51.55803935296619	YWHAE;TTYH3;TMEM167A;ATXN7L3B;GNS;ACTB;NUDT3;NKD1;MRPL3;PSMB4;ATP5F1B;YWHAQ;POLR2A;C1QBP;CFL1;UTP20;YWHAH;SF3A1;XRCC5;HSBP1;ATP5PB;TPM3;HMGA2;PDAP1;DHCR24;ATP5F1E;DDOST;DDB1;EEF1A1;NR4A1;MYL6;RCN1;MARCKS;RCN2;BAMBI;CDC37;SRSF2;MYH9;UQCRC2;CALR;PABPC1;DYNLRB1;TLN1;TARDBP;NAT8L;SEC22B
DDIT3 KNOCKOUT TREATED WITH 2 UGML TUNICAMYCIN FOR 4 HOURS MOUSE GSE2082 CREEDSID GENE 1387 DOWN	39/292	1.030429508920739E-8	5.965483596155376E-8	0	0	3.102004244881359	57.04804506842381	PPP1R15A;MRPL18;MAK16;COX7C;CDC20;ATP5IF1;TMEM123;GJA1;TIMM17A;ARGLU1;ABCF1;HSPA9;PPP1R14B;NOP58;IMP3;RABGGTB;HIGD2A;RRAGA;PSMA2;NCL;SRSF2;RSRP1;JTB;TSR1;CPE;ERH;CEBPZ;ANP32B;PABPC1;SELENOT;DNAJC8;TOP1;SRSF6;PTMA;ITM2B;TOMM5;LIMS1;MAD2L1;SNRPB
MSGN1 OE MOUSE GSE29848 CREEDSID GENE 1630 UP	36/257	1.0791943745815875E-8	6.229314274581885E-8	0	0	3.2730595196658543	60.04252884745562	YWHAE;BEX3;ANP32A;GTF2E2;SNRPD1;SALL4;MAGOH;SUMO2;COTL1;GLUL;HNRNPA0;MARCKSL1;HMGA2;CNPY2;TBCA;COX6B1;SEM1;NUDT21;MYL6;TMEM256;MARCKS;CNIH1;RCN2;RNF149;TMX1;ATP5PO;SRSF3;CPE;CYCS;RNPS1;UQCRC2;KIF20A;HPRT1;MCM6;SLC25A4;PPIC
HNF1B OE HUMAN GSE3308 CREEDSID GENE 1750 DOWN	37/269	1.1115544533784733E-8	6.39717621988614E-8	0	0	3.2060298727641525	58.71818480460013	LRRC59;PSMD14;HMGB1;YBX1;CDC73;TOMM22;RPF1;ATP5IF1;UCHL1;RPL36AL;PSMB1;CFL1;DHX15;UQCRFS1;POLR2G;MSX1;RAB8A;BCAS2;HSPA9;TIMM8B;PARP1;NDUFA1;FTSJ3;TM9SF2;EEF1A1;SEM1;COPS6;PPA1;UQCRQ;NCL;ERH;SNRPF;SLC25A5;PTMA;DCTPP1;RPS24;ARF5
IKZF3 MUT MOUSE GSE12356 CREEDSID GENE 599 DOWN	40/305	1.1270239459075055E-8	6.463141364289525E-8	0	0	3.0387885658757794	55.613174218025854	NDUFB8;NDUFA11;NDUFB6;CTBP1;GSTP1;PDCD5;POMP;BRK1;IFI30;ACTB;TUBA1B;CHCHD2;TMEM223;ATP5F1B;RPL36AL;BLOC1S1;PSMB3;HLX;CFL1;SUMO2;COTL1;ELOB;SOX4;NDUFA6;ATP5PB;SSU72;ATP5F1E;LSM3;COX6B1;DDB1;MYL6;NDUFS8;EIF3K;SARNP;CKS2;NDUFS3;ERH;DYNLRB1;RPS24;COPS9
PCGF2 KD HUMAN GSE7578 CREEDSID GENE 130 UP	38/281	1.1296418273822286E-8	6.463141364289525E-8	0	0	3.1451520518853378	57.552445867808004	NOTCH2;TMED10;SLC20A1;IQGAP1;LAMC1;ACTB;RTN4;LAPTM4B;GJA1;TUBA1B;PRDX4;TIMP2;CYP1B1;CTSD;LDLR;CTSC;NOP58;TNFRSF12A;FUCA2;ATP1B3;DHCR24;HLA-A;IGF2R;DDOST;TM9SF2;EEF1A1;RCN1;SPCS1;RCN2;COL4A2;COL4A1;TMX1;DAD1;SCD;NFE2L3;MYH9;CALR;PABPC1
SRF MUT MOUSE GSE1948 CREEDSID GENE 1399 UP	45/367	1.1366022833012435E-8	6.483950452399784E-8	0	0	2.8200566845564734	51.58627433626214	CSTB;GRN;RNASEK;RBM8A;SLC20A1;FCF1;IFI30;GTF2E2;UCHL1;PSMD7;YWHAQ;GNG5;DNAJB6;PCBP1;CFL1;TIMM17A;ME1;PDK3;POLR2G;CTSD;RAB8A;EGR1;CAVIN1;RNF26;ANXA5;ATP1B3;HSPE1;APRT;CS;COL4A2;RNF149;COL4A1;PSME4;UQCRC1;ATP5PO;UBE2N;DRG1;CPE;MYH9;CYSTM1;ERH;ANP32B;TOP1;PTMA;SLC25A4
EHF KD CALU3 HUMAN GSE63397 RNASEQ UP	47/393	1.1897182339716309E-8	6.767172811891114E-8	0	0	2.743490079675051	50.06036538496673	RPL31;SLC20A1;PDCD5;NUCKS1;IQGAP1;TXN;HMGB1;YBX1;IPO7;RTN4;YY1;LAPTM4B;TMEM123;TUBA1B;DNAJB6;YWHAQ;RPL36AL;CFL1;SUMO2;TIMP2;CTSC;YWHAH;HSPA9;NOP58;TPM3;ANXA5;CMTM6;DHCR24;PA2G4;ATP5F1E;RPS26;RPS25;RCN1;PPA1;NCL;SRSF2;SRSF3;CYCS;MYH9;EIF3E;SNRPF;ANP32B;PABPC1;SNRNP200;PTMA;RPS24;RAB7A
ESRRA KO MOUSE GSE8106 CREEDSID GENE 2613 UP	35/247	1.2769442046532316E-8	7.24220390487923E-8	0	0	3.3152775820060008	60.25918439121694	MRPS17;NDUFB8;ECHS1;NDUFB10;MRPS14;MRPL18;PDCD5;POMP;LDB3;ATP5IF1;GNG5;ARL6IP5;HSPA9;COA3;NDUFA7;DYNLL2;ATP5F1E;LSM3;HIGD2A;MRPL30;NSA2;SUCLA2;COL4A2;COL4A1;UQCRQ;CDC37;PXMP2;UQCRC1;ATP5PO;RSRP1;NDUFS3;SUCLG1;CYSTM1;SLC25A4;ITM2B
YBX1 SIRNA BT549 HUMAN GSE79586 RNASEQ UP	39/295	1.3726789006852435E-8	7.762598652860609E-8	0	0	3.0651627813504825	55.49145108761021	YWHAE;GRN;GMFB;RNF38;IQGAP1;LAMC1;HMGB1;SLC5A3;GNS;ACTB;HS2ST1;RBM3;LAPTM4B;GJA1;PGRMC2;C1QBP;LAMP2;TIMP2;KIF1C;EIF4EBP2;CTSD;SOX4;HSPA9;SMARCC1;CAVIN1;ANXA5;HMGA2;NR2F2;ATP5F1E;IGF2R;DDOST;TGFBR1;MYL6;EIF3E;CALR;PABPC1;SNRNP200;CRK;RPS24
EZH2 KO HESC HUMAN GSE76626 RNASEQ DOWN	46/383	1.4913971742721963E-8	8.409583488453916E-8	0	0	2.7551768558812033	49.65095219777251	NOTCH2;YWHAE;NUCKS1;HMGB1;YBX1;ENO2;SMC3;IPO7;PNN;TMEM123;GJA1;TUBA1B;BCLAF1;IPO9;YWHAQ;ZIC2;POLR2A;ZIC3;RAD21;SALL4;TPR;DHX15;PAPOLA;EP400;EIF4EBP2;HMGN2;TEAD1;YWHAG;SRRM2;SMARCC1;SUPT16H;XRCC5;SMARCA5;HMGA2;SREBF2;DDB1;EEF1A1;RPS25;NUDT21;ASPM;NCAPD2;EIF3E;KIF20A;PABPC1;SNRNP200;RBMX
MYOD1 MUT MOUSE GSE6487 CREEDSID GENE 1180 DOWN	37/272	1.5008712545790103E-8	8.438616189290055E-8	0	0	3.164596654909546	57.00905355939731	SYAP1;PRPF19;COX5A;PSMB7;ATP5F1B;PRKAR2B;PCBP1;C1QBP;ARL6IP5;TIMM17A;TNNI1;CYC1;PPP1R14B;NDUFA7;ATP5PB;NDUFA4;NDUFA1;ATP1B3;DDX51;TRNAU1AP;ATP5F1E;COX6B1;DDB1;RPS25;SYNPO2L;PSMC2;CAT;UQCRC1;ATP5PO;PGP;NDUFS3;CYCS;PABPC1;SELENOT;LZTR1;RAB7A;COPS9
NRL DEFICIENCY MOUSE GSE8972 CREEDSID GENE 658 UP	39/296	1.508819090715679E-8	8.458925419500832E-8	0	0	3.0530734295044226	54.98387852585116	RNASEK;LGALSL;BRK1;ATXN7L3B;DOC2B;HMGB1;ENO2;COX7C;ACTB;NUDT3;RTN4;LAPTM4B;TUBA1B;TMEM223;TRIM28;PCBP1;ELOB;POLR2G;SPTSSA;CTSD;NDUFA9;COA3;NDUFA7;NDFIP1;EN2;DYNLL2;HIGD2A;EEF1A1;COPS6;DAD1;GNB2;PSMC2;SRSF2;CPE;SUCLG1;SELENOT;TOP1;ITM2B;SNRPB
KLF4 OE HUMAN GSE3113 CREEDSID GENE 2071 UP	48/409	1.522031978742866E-8	8.508551262255965E-8	0	0	2.6861891571032843	48.35310914432125	YWHAE;TMED10;RAB1B;NDUFB1;GHITM;HMGB1;YBX1;ENO2;COX5A;PNN;MAP1LC3B;ATP5F1B;GNG5;PLS3;TMEM14A;HSPA9;SUPT16H;PLA2G12A;MARCKSL1;ATP5PB;GDF15;CCZ1;HLA-A;TBCA;TUBG1;PRDX6;DDOST;IQCG;SRPK1;HIGD2A;CS;DDB1;RPS26;CNIH1;SPCS1;EIF2S3;PPA1;SCD;CDC37;GNB2;JTB;ERH;RNPS1;ANP32B;CALR;SLC25A5;ITM2B;RNF187
DDIT3 MUT MOUSE GSE2082 CREEDSID GENE 899 UP	46/384	1.616981194971333E-8	9.013515175397343E-8	0	0	2.746878474574105	49.27932889068261	CSTB;ECHS1;RNASEK;NDUFA11;NAXE;SLC20A1;PDCD5;BRK1;IFI30;NUDT3;PSMD8;UCHL1;TMEM223;TRIM28;ME1;CYP1B1;ELOB;CTSD;LDLR;CTSC;NDUFA9;WDR83OS;CAVIN1;ANXA5;RFLNB;CNPY2;PRDX6;DDB1;TM9SF2;RRAGA;SMDT1;RCN1;RCN2;COL4A2;RNF149;COL4A1;GNB2;UQCRC1;MYH9;RELL1;ANP32B;PABPC1;SELENOT;PTMA;CACUL1;ARF5
NANOG KD HUMAN GSE34904 CREEDSID GENE 1349 DOWN	40/309	1.6324814672667363E-8	9.073992429166389E-8	0	0	2.992963926161112	53.665577661199244	CSTB;SLC44A1;GSTP1;CISD1;MRPS30;ENO2;COX7C;COX5A;CDC20;PDLIM1;GJA1;CHCHD2;PRDX4;ATP5F1B;YWHAQ;DNAJB6;PCBP1;DHX15;PLS3;IARS2;CYC1;SOX4;YWHAH;EGR1;PARP1;CAVIN1;NDUFA4;TBCA;PRDX6;TMEM256;GAL;SUCLA2;PPA1;BAMBI;CKS2;CEBPZ;EIF3E;PABPC1;RPS24;RAB7A
YY2 KD HUMAN GSE14964 CREEDSID GENE 2081 UP	24/131	1.7590069332463432E-8	9.749495814669363E-8	0	0	4.4767538152135335	79.93660873540745	YWHAE;COX8A;BEX3;COX7B;RPL31;NDUFA4;TMA7;NDUFA1;NDUFB1;HSPE1;COX7C;ACTB;ATP5F1E;ATP5IF1;EEF1A1;MYL6;TUBA1B;GNG5;UQCRQ;CFL1;ERH;SLIRP;PTMA;RPS24
ZNF142 SIRNA T47D HUMAN GSE79586 RNASEQ UP	56/519	1.969923474544813E-8	1.0887594047696684E-7	0	0	2.4513567298895564	43.493652848527425	YWHAE;RPL31;GHITM;YBX1;IPO7;DCAF7;CRKL;LAPTM4B;CHCHD2;SERP1;LAMP2;CFL1;PAPOLA;CYP1B1;KIF1C;SEPHS2;CTSD;YWHAG;SRRM2;NSF;TPM3;ZFR;DYNLL2;DDOST;DDB1;EEF1A1;LSG1;LCOR;MYH9;TOP1;PABPC1;SRSF6;SNRNP200;NOTCH2;KMT2D;DHX9;TXN;GNS;RTN4;PSMB7;SLC9A3R1;ATP5F1B;STC2;ABCF1;HSPA9;GSTM3;NDUFA4;ATP5PB;GREB1;IGF2R;CS;RPS25;SNX19;EIF2S3;CCDC6;EIF3E
VDR KO MOUSE GSE2421 CREEDSID GENE 1152 UP	36/263	1.9906650754988072E-8	1.0940246654361051E-7	0	0	3.185530328702135	56.48649896889207	POMP;BCCIP;NEDD8;YBX1;COX7C;RTN4;PSMB7;TUBA1B;GNG5;RPL36AL;PCBP1;TIMP2;MAPK1;SPTSSA;CTSC;POLR2K;YWHAH;NDFIP1;HSBP1;TMA7;ATP1B3;RPS26;MRPL30;EEF1A1;RPS25;MYL6;CNIH1;PSMA2;RNF149;NMT1;DYNLRB1;MCM6;SLIRP;SFT2D1;ITM2B;RPS24
ESRRA DEFICIENCY MOUSE GSE7196 CREEDSID GENE 673 DOWN	36/263	1.9906650754988072E-8	1.0940246654361051E-7	0	0	3.185530328702135	56.48649896889207	ISCA1;NDUFB8;NDUFB10;NDUFB6;MRPL16;GHITM;PSMB7;CHCHD2;GRPEL1;C1QBP;PMPCB;CYC1;NDUFA6;GLRX5;TMA7;NDUFA1;HSPE1;DYNLL2;ATP5F1E;COX6B1;HIGD2A;MRPL30;TM9SF2;NDUFS8;COL4A2;COL4A1;NDUFS6;PSME4;PXMP2;UQCRC1;NDUFS3;CYCS;SUCLG1;UQCRC2;DYNLRB1;TOMM5
DLX4 OE HUMAN GSE21657 CREEDSID GENE 2160 UP	37/275	2.0160682967750126E-8	1.1048733839910252E-7	0	0	3.124207971958837	55.359501624626404	BEX3;TMED10;ANP32A;POP4;HMGB1;YBX1;IFI30;ACTB;CDC20;PSMD8;ATP5F1B;TRIM28;PNMA1;PCBP1;PSMB1;DHX15;SLC39A6;UQCRFS1;HMGN2;CTSD;RAB8A;HEXIM1;HSPA9;LDOC1;TUBB4B;DDOST;COX6B1;EEF1A1;EIF3K;TMX1;BAMBI;SRSF2;SUCLG1;PABPC1;SELENOT;SLC25A5;RBMX
PRRX1 SIRNA BT549 HUMAN GSE79586 RNASEQ UP	41/324	2.0811351482644415E-8	1.1341605235374095E-7	0	0	2.9169782102909974	51.594831670791315	YWHAE;GRN;RPL31;RNF38;NUCKS1;LAMC1;HMGB1;DCAF7;ACTB;SERP1;YWHAQ;RAD21;TIMP2;CYP1B1;KIF1C;HMGN2;CTSD;LDLR;SOX4;YWHAG;HNRNPA0;MARCKSL1;ENTPD4;TPM3;ATP1B3;DHCR24;NR2F2;TUBB4B;SREBF2;ATP5F1E;IGF2R;DDOST;EEF1A1;RPS25;MYL6;MARCKS;GAS1;EIF3E;PABPC1;PTMA;VAMP3
ADAR OE HEK293 HUMAN GSE87198 RNASEQ DOWN	41/324	2.0811351482644415E-8	1.1341605235374095E-7	0	0	2.9169782102909974	51.594831670791315	YWHAE;CTBP1;TCF25;IRS4;YBX1;ENO2;PSMB7;UCHL1;TRIM28;PCBP1;ZNF703;PSMB1;SUMO2;PLS3;IARS2;BUB3;SEPHS2;GLUL;HSBP1;ATP5PB;EIF1AX;DHCR24;HLA-A;TUBB4B;SREBF2;EEF1A1;MARCKS;EIF2S3;COL4A2;ATP5PO;SRSF2;ULK2;TUBGCP6;CPE;ERH;SNRPA1;EIF3E;RBMX;RABL6;MAD2L1;RNF187
