NM_001005484.2	NP_001005484.2
NM_001080476.3	NP_001073945.1
NM_198353.3	NP_938167.1
XM_011513690.4	XP_011511992.1
XM_047450094.1	XP_047306050.1
NM_182592.3	NP_872398.3
XM_011513679.3	XP_011511981.1
NM_001387382.1	NP_001374311.1
NM_021927.3	NP_068746.2
NM_001345868.2	NP_001332797.1
NM_001345867.2	NP_001332796.1
NM_001345869.2	NP_001332798.1
XM_024454178.2	XP_024309946.1
XM_047416063.1	XP_047272019.1
XM_047416065.1	XP_047272021.1
XM_047416064.1	XP_047272020.1
XM_047416066.1	XP_047272022.1
NM_001270881.2	NP_001257810.1
NM_001270880.2	NP_001257809.1
NM_138335.3	NP_612208.1
NM_173536.4	NP_775807.2
XM_017007990.2	XP_016863479.1
NM_001377154.1	NP_001364083.1
NM_001377146.1	NP_001364075.1
NM_001377145.1	NP_001364074.1
NM_001377152.1	NP_001364081.1
NM_001286827.3	NP_001273756.1
NM_000807.4	NP_000798.2
NM_001377144.1	NP_001364073.1
NM_001377150.1	NP_001364079.1
XM_024453967.2	XP_024309735.1
NM_001377147.1	NP_001364076.1
NM_001330690.2	NP_001317619.1
NM_001377148.1	NP_001364077.1
XM_011513675.2	XP_011511977.1
NM_001377153.1	NP_001364082.1
NM_001377149.1	NP_001364078.1
XM_024453964.2	XP_024309732.1
NM_001114175.3	NP_001107647.1
NM_001377151.1	NP_001364080.1
XM_024453966.2	XP_024309734.1
NM_001377155.1	NP_001364084.1
NM_130902.3	NP_570972.2
XM_047449721.1	XP_047305677.1
XM_011513633.3	XP_011511935.1
XM_011513632.3	XP_011511934.1
XM_011513638.3	XP_011511940.1
XM_011513635.3	XP_011511937.1
XM_047449720.1	XP_047305676.1
XM_011513634.3	XP_011511936.1
XM_011513630.3	XP_011511932.1
XM_011513631.3	XP_011511933.1
XM_005248056.5	XP_005248113.1
NM_001204267.2	NP_001191196.1
NM_001204266.2	NP_001191195.1
NM_000809.4	NP_000800.2
XM_024453977.2	XP_024309745.1
XM_024453976.2	XP_024309744.1
NM_000812.4	NP_000803.2
XM_017007986.3	XP_016863475.1
XM_017007985.2	XP_016863474.1
NM_001329668.2	NP_001316597.1
NM_017845.5	NP_060315.1
NM_020453.4	NP_065186.3
NM_001278585.2	NP_001265514.1
NM_006587.4	NP_006578.2
NM_001278586.2	NP_001265515.1
NM_001278623.1	NP_001265552.1
NM_152995.6	NP_694540.3
NM_001278624.2	NP_001265553.1
XM_005248049.5	XP_005248106.3
XM_011513623.3	XP_011511925.1
NM_001379270.1	NP_001366199.1
NM_000087.5	NP_000078.3
NM_001142564.2	NP_001136036.2
NM_207330.3	NP_997213.1
XM_017007784.2	XP_016863273.1
XM_047449642.1	XP_047305598.1
XM_017008581.3	XP_016864070.1
NM_003328.3	NP_003319.2
XM_011513747.4	XP_011512049.1
XM_024454200.2	XP_024309968.1
XM_047416123.1	XP_047272079.1
XM_011513748.4	XP_011512050.1
XM_047416122.1	XP_047272078.1
XM_047416125.1	XP_047272081.1
NM_003215.3	NP_003206.2
XM_047416106.1	XP_047272062.1
XM_011513737.3	XP_011512039.1
XM_047416107.1	XP_047272063.1
XM_011513741.2	XP_011512043.2
XM_047416108.1	XP_047272064.1
XM_005248121.4	XP_005248178.1
NM_020846.2	NP_065897.1
XM_047416023.1	XP_047271979.1
NM_152679.4	NP_689892.1
NM_175619.3	NP_783318.1
XM_024453991.2	XP_024309759.1
XM_024453993.2	XP_024309761.1
XM_011513683.4	XP_011511985.1
NM_015030.2	NP_055845.1
XM_005248090.6	XP_005248147.1
XM_047450099.1	XP_047306055.1
XM_047450098.1	XP_047306054.1
XM_047450097.1	XP_047306053.1
XM_011513682.4	XP_011511984.2
XM_024453989.2	XP_024309757.1
XM_047450095.1	XP_047306051.1
XM_011513680.4	XP_011511982.2
XM_011513681.4	XP_011511983.2
XM_024453988.2	XP_024309756.1
XM_024453992.2	XP_024309760.1
XM_047450100.1	XP_047306056.1
XM_005248093.6	XP_005248150.1
XM_011513684.4	XP_011511986.1
XM_047450101.1	XP_047306057.1
XM_011513685.4	XP_011511987.2
XM_047415862.1	XP_047271818.1
XM_024454112.2	XP_024309880.1
XM_024454108.2	XP_024309876.1
NM_001168254.2	NP_001161726.1
NM_001079839.3	NP_001073308.1
NM_001079842.3	NP_001073311.2
NM_001079841.3	NP_001073310.1
NM_017830.4	NP_060300.1
NM_001079840.3	NP_001073309.1
XM_024454105.2	XP_024309873.1
XM_024454109.2	XP_024309877.1
XM_024454107.2	XP_024309875.1
XM_024454106.2	XP_024309874.1
XM_024454111.2	XP_024309879.1
NM_001286774.2	NP_001273703.1
NM_152398.4	NP_689611.1
NM_001014446.3	NP_001014446.1
NM_001286773.2	NP_001273702.1
XM_011513755.2	XP_011512057.1
NM_025087.3	NP_079363.2
XM_011513758.2	XP_011512060.1
XM_011513757.3	XP_011512059.1
NM_001286791.2	NP_001273720.1
XM_011513756.4	XP_011512058.1
XM_011513759.1	XP_011512061.1
XM_047449871.1	XP_047305827.1
XM_047449872.1	XP_047305828.1
NM_001287757.2	NP_001274686.1
NM_001040402.3	NP_001035492.1
NM_015115.4	NP_055930.2
XM_047449878.1	XP_047305834.1
XM_047449880.1	XP_047305836.1
XM_024453943.2	XP_024309711.1
XM_047449873.1	XP_047305829.1
XM_047449874.1	XP_047305830.1
NM_001287755.1	NP_001274684.1
XM_005265731.4	XP_005265788.1
XM_047449875.1	XP_047305831.1
XM_047449876.1	XP_047305832.1
XM_047449881.1	XP_047305837.1
XM_047449882.1	XP_047305838.1
XM_024453944.2	XP_024309712.1
XM_024453945.2	XP_024309713.1
XM_011534380.2	XP_011532682.1
XM_047449879.1	XP_047305835.1
XM_017007912.3	XP_016863401.1
XM_047449877.1	XP_047305833.1
XM_017007913.3	XP_016863402.1
NM_001024611.3	NP_001019782.1
XM_047415645.1	XP_047271601.1
XM_047415644.1	XP_047271600.1
XM_047415646.1	XP_047271602.1
XM_047415647.1	XP_047271603.1
XM_047416074.1	XP_047272030.1
NM_000232.5	NP_000223.1
XM_047416076.1	XP_047272032.1
XM_047416075.1	XP_047272031.1
NM_145263.4	NP_660306.1
XM_005265717.3	XP_005265774.1
NM_001297608.2	NP_001284537.1
NM_001346102.2	NP_001333031.1
XM_011534372.2	XP_011532674.1
NM_001346103.2	NP_001333032.1
XM_047449604.1	XP_047305560.1
XM_047449606.1	XP_047305562.1
XM_017007731.3	XP_016863220.1
XM_047449605.1	XP_047305561.1
NM_001286767.2	NP_001273696.1
NM_022832.4	NP_073743.2
NM_001286768.2	NP_001273697.1
XM_047416088.1	XP_047272044.1
NM_001134223.2	NP_001127695.1
NM_001242690.2	NP_001229619.1
NM_024534.6	NP_078810.1
NM_023940.3	NP_076429.1
NM_152540.4	NP_689753.2
XM_017007787.3	XP_016863276.1
XM_047449646.1	XP_047305602.1
XM_017007786.3	XP_016863275.1
XM_011534376.4	XP_011532678.1
XM_011534375.4	XP_011532677.1
XM_047449647.1	XP_047305603.1
XM_011534378.4	XP_011532680.1
NM_001376744.1	NP_001363673.1
NM_001376745.1	NP_001363674.1
NM_001376766.1	NP_001363695.1
XM_047416208.1	XP_047272164.1
NM_030917.4	NP_112179.2
XM_005265779.5	XP_005265836.1
XM_047416211.1	XP_047272167.1
NM_001376759.1	NP_001363688.1
XM_047416212.1	XP_047272168.1
NM_001376765.1	NP_001363694.1
NM_001376746.1	NP_001363675.1
NM_001376761.1	NP_001363690.1
NM_001376748.1	NP_001363677.1
NM_001376749.1	NP_001363678.1
NM_001376752.1	NP_001363681.1
NM_001376747.1	NP_001363676.1
XM_047416218.1	XP_047272174.1
NM_001376753.1	NP_001363682.1
NM_001376754.1	NP_001363683.1
NM_001376756.1	NP_001363685.1
XM_047416215.1	XP_047272171.1
NM_001376771.1	NP_001363700.1
NM_001376786.1	NP_001363715.1
NM_001376774.1	NP_001363703.1
NM_001376775.1	NP_001363704.1
NM_001376770.1	NP_001363699.1
NM_001376751.1	NP_001363680.1
NM_001376777.1	NP_001363706.1
NM_001376785.1	NP_001363714.1
NM_001376772.1	NP_001363701.1
NM_001376755.1	NP_001363684.1
NM_001410723.1	NP_001397652.1
NM_001134937.2	NP_001128409.1
NM_001410724.1	NP_001397653.1
XM_047416210.1	XP_047272166.1
NM_001376750.1	NP_001363679.1
NM_001376776.1	NP_001363705.1
XM_047416214.1	XP_047272170.1
NM_001376769.1	NP_001363698.1
XM_047416216.1	XP_047272172.1
NM_001376773.1	NP_001363702.1
NM_001376758.1	NP_001363687.1
NM_001376760.1	NP_001363689.1
XM_047416213.1	XP_047272169.1
NM_001376767.1	NP_001363696.1
NM_001376757.1	NP_001363686.1
NM_001376778.1	NP_001363707.1
NM_001376779.1	NP_001363708.1
NM_001376781.1	NP_001363710.1
NM_001134938.2	NP_001128410.1
NM_001376762.1	NP_001363691.1
NM_001376764.1	NP_001363693.1
NM_001376784.1	NP_001363713.1
NM_001376768.1	NP_001363697.1
NM_001376780.1	NP_001363709.1
NM_001376783.1	NP_001363712.1
NM_001376782.1	NP_001363711.1
XM_005265785.6	XP_005265842.1
NM_001126328.3	NP_001119800.1
XM_024454262.2	XP_024310030.1
NM_032622.3	NP_116011.2
XM_047416328.1	XP_047272284.1
XM_047450063.1	XP_047306019.1
XM_006714037.5	XP_006714100.1
NM_012110.4	NP_036242.1
XM_011534382.3	XP_011532684.1
NM_133267.3	NP_573574.2
NM_001347828.2	NP_001334757.1
NM_006206.6	NP_006197.1
XM_006714041.4	XP_006714104.1
NM_001347827.2	NP_001334756.1
XM_005265743.2	XP_005265800.1
XM_047415767.1	XP_047271723.1
XM_047415766.1	XP_047271722.1
NM_001347829.2	NP_001334758.1
NM_001347830.2	NP_001334759.1
XM_017008281.2	XP_016863770.1
NM_001385284.1	NP_001372213.1
NM_001385290.1	NP_001372219.1
NM_001385288.1	NP_001372217.1
NM_001385292.1	NP_001372221.1
NM_000222.3	NP_000213.1
NM_001385285.1	NP_001372214.1
NM_001093772.2	NP_001087241.1
NM_001385286.1	NP_001372215.1
NM_002253.4	NP_002244.1
NM_024592.5	NP_078868.1
NM_001410732.1	NP_001397661.1
XM_005265767.4	XP_005265824.1
XM_017008601.2	XP_016864090.1
XM_011534394.4	XP_011532696.1
XM_017008412.2	XP_016863901.1
NM_018475.5	NP_060945.2
XM_047415962.1	XP_047271918.1
XM_011534410.3	XP_011532712.1
XM_047416432.1	XP_047272388.1
XM_047416436.1	XP_047272392.1
NM_004898.4	NP_004889.1
XM_017008854.2	XP_016864343.1
XM_047416433.1	XP_047272389.1
XM_011534411.3	XP_011532713.1
XM_047416439.1	XP_047272395.1
XM_047416437.1	XP_047272393.1
XM_005265787.3	XP_005265844.1
XM_047416431.1	XP_047272387.1
XM_047416434.1	XP_047272390.1
XM_047416435.1	XP_047272391.1
XM_024454284.2	XP_024310052.1
XM_047416438.1	XP_047272394.1
NM_001267843.2	NP_001254772.1
XM_047416440.1	XP_047272396.1
XM_005265728.4	XP_005265785.1
NM_152401.3	NP_689614.2
XM_011534374.3	XP_011532676.1
XM_047449616.1	XP_047305572.1
XM_047449544.1	XP_047305500.1
NM_001292045.2	NP_001278974.1
NM_001292046.2	NP_001278975.1
NM_006681.4	NP_006672.1
XM_011534368.4	XP_011532670.1
XM_011534367.3	XP_011532669.1
NM_001351574.3	NP_001338503.1
NM_001351575.3	NP_001338504.1
XM_024454185.2	XP_024309953.1
XM_005265747.4	XP_005265804.1
XM_017008405.3	XP_016863894.1
NM_001024924.2	NP_001020095.1
XM_005265750.4	XP_005265807.1
XM_005265748.2	XP_005265805.1
XM_017008406.2	XP_016863895.1
NM_018261.4	NP_060731.2
NM_178237.3	NP_839955.1
XM_017008407.3	XP_016863896.1
XM_047415961.1	XP_047271917.1
NM_025009.5	NP_079285.2
XM_006714055.4	XP_006714118.1
XM_005265788.5	XP_005265845.1
XM_011534412.2	XP_011532714.1
XM_047415994.1	XP_047271950.1
NM_001393381.1	NP_001380310.1
NM_001393384.1	NP_001380313.1
NM_001393383.1	NP_001380312.1
XM_047415995.1	XP_047271951.1
NM_020722.2	NP_065773.1
NM_001393382.1	NP_001380311.1
NM_001393385.1	NP_001380314.1
XM_005265752.3	XP_005265809.1
XM_017008473.2	XP_016863962.2
XM_005265756.3	XP_005265813.1
XM_005265755.3	XP_005265812.1
XM_006714045.3	XP_006714108.1
NM_001286668.2	NP_001273597.1
NM_001323893.2	NP_001310822.1
NM_001286669.2	NP_001273598.1
NM_001286670.2	NP_001273599.1
NM_001323899.2	NP_001310828.1
NM_001286671.2	NP_001273600.1
XM_017007743.3	XP_016863232.1
NM_001323892.2	NP_001310821.1
XM_017007740.3	XP_016863229.1
NM_181806.4	NP_861522.2
XM_047449614.1	XP_047305570.1
NM_001323890.2	NP_001310819.1
XM_047449615.1	XP_047305571.1
NM_001286672.2	NP_001273601.1
NM_002703.5	NP_002694.3
XM_047449527.1	XP_047305483.1
NM_001392010.1	NP_001378939.1
NM_001392011.1	NP_001378940.1
NM_001392012.1	NP_001378941.1
XM_047449528.1	XP_047305484.1
NM_006452.4	NP_006443.1
XM_047449530.1	XP_047305486.1
XM_047449529.1	XP_047305485.1
NM_001079525.2	NP_001072993.1
NM_001079524.2	NP_001072992.1
NM_006947.4	NP_008878.3
NM_001267722.2	NP_001254651.1
XM_024454192.2	XP_024309960.1
NM_206919.3	NP_996802.1
XM_047449613.1	XP_047305569.1
NM_001401357.1	NP_001388286.1
NM_001401359.1	NP_001388288.1
NM_001401360.1	NP_001388289.1
NM_001401358.1	NP_001388287.1
NM_001363794.2	NP_001350723.1
NM_001401361.1	NP_001388290.1
XM_005265720.5	XP_005265777.1
XM_011534357.2	XP_011532659.1
XM_011534361.3	XP_011532663.1
XM_011534363.3	XP_011532665.1
XM_011534364.2	XP_011532666.1
NM_001256475.2	NP_001243404.1
XM_011534365.3	XP_011532667.1
XM_017008728.2	XP_016864217.1
NM_139212.4	NP_631958.1
NM_032495.6	NP_115884.4
NM_001145460.2	NP_001138932.1
XM_017008732.2	XP_016864221.1
XM_047416319.1	XP_047272275.1
XM_047416322.1	XP_047272278.1
XM_047416320.1	XP_047272276.1
XM_047416321.1	XP_047272277.1
XM_017008729.3	XP_016864218.2
XM_017008730.3	XP_016864219.1
XM_017008734.2	XP_016864223.1
NM_139211.5	NP_631957.1
XM_017008731.3	XP_016864220.1
NM_001145459.2	NP_001138931.1
NM_021114.4	NP_066937.1
NM_001271721.2	NP_001258650.1
NM_001271720.2	NP_001258649.1
NM_001271722.2	NP_001258651.1
NM_001271719.2	NP_001258648.1
NM_001271718.2	NP_001258647.1
NM_005612.5	NP_005603.3
XM_017008527.2	XP_016864016.1
NM_001363453.2	NP_001350382.1
NM_001193508.1	NP_001180437.1
XM_047416053.1	XP_047272009.1
NM_032313.4	NP_115689.1
NM_001303269.2	NP_001290198.1
NM_000938.3	NP_000929.1
NM_001303268.2	NP_001290197.1
NM_001553.3	NP_001544.1
NM_001253835.2	NP_001240764.1
XM_047416555.1	XP_047272511.1
NM_001387552.1	NP_001374481.1
NM_001322402.3	NP_001309331.1
NM_001387522.1	NP_001374451.1
NM_001387523.1	NP_001374452.1
NM_001371343.2	NP_001358272.1
NM_001387524.1	NP_001374453.1
NM_001322246.3	NP_001309175.1
NM_015236.7	NP_056051.2
NM_001387534.1	NP_001374463.1
NM_001387538.1	NP_001374467.1
NM_001387548.1	NP_001374477.1
NM_001387536.1	NP_001374465.1
NM_001387540.1	NP_001374469.1
NM_001387544.1	NP_001374473.1
NM_001387545.1	NP_001374474.1
NM_001371344.2	NP_001358273.1
NM_001371345.2	NP_001358274.1
NM_001387525.1	NP_001374454.1
NM_001387547.1	NP_001374476.1
NM_001387528.1	NP_001374457.1
NM_001387529.1	NP_001374458.1
NM_001387533.1	NP_001374462.1
NM_001387537.1	NP_001374466.1
NM_001387526.1	NP_001374455.1
NM_001387531.1	NP_001374460.1
NM_001387527.1	NP_001374456.1
NM_001387549.1	NP_001374478.1
NM_001387535.1	NP_001374464.1
NM_001387546.1	NP_001374475.1
NM_001371346.2	NP_001358275.1
NM_001387542.1	NP_001374471.1
NM_001387539.1	NP_001374468.1
NM_001387532.1	NP_001374461.1
XM_047449940.1	XP_047305896.1
XM_047449941.1	XP_047305897.1
NM_001387530.1	NP_001374459.1
NM_001371342.1	NP_001358271.1
NM_001387543.1	NP_001374472.1
NM_001387541.1	NP_001374470.1
XM_017007929.2	XP_016863418.1
XM_017007931.1	XP_016863420.1
XM_017007940.1	XP_016863429.1
XM_017007941.1	XP_016863430.1
XM_017007933.1	XP_016863422.1
XM_017007936.1	XP_016863425.1
XM_047449935.1	XP_047305891.1
XM_011531791.2	XP_011530093.1
XM_047449934.1	XP_047305890.1
XM_047449942.1	XP_047305898.1
XM_017007934.1	XP_016863423.1
XM_047449943.1	XP_047305899.1
XM_047449937.1	XP_047305893.1
XM_047449936.1	XP_047305892.1
XM_047449938.1	XP_047305894.1
XM_047449939.1	XP_047305895.1
XM_047449944.1	XP_047305900.1
XM_047449945.1	XP_047305901.1
XM_017007930.1	XP_016863419.1
XM_017007937.1	XP_016863426.1
XM_024453961.2	XP_024309729.1
XM_005265664.4	XP_005265721.1
NM_001363796.1	NP_001350725.1
XM_024453962.2	XP_024309730.1
XM_005265662.6	XP_005265719.1
XM_005265665.5	XP_005265722.1
NM_001010874.5	NP_001010874.2
XM_017007959.3	XP_016863448.1
XM_047449763.1	XP_047305719.1
XM_017007880.3	XP_016863369.1
XM_005265653.5	XP_005265710.1
XM_047449762.1	XP_047305718.1
XM_017007878.3	XP_016863367.1
XM_011531735.4	XP_011530037.1
NM_182472.5	NP_872272.2
NM_004439.8	NP_004430.4
NM_001281766.3	NP_001268695.1
NM_001281765.3	NP_001268694.1
NM_001318761.2	NP_001305690.1
XM_017007881.3	XP_016863370.1
NM_001281767.3	NP_001268696.1
NM_001362481.2	NP_001349410.1
XM_047449526.1	XP_047305482.1
NM_001812.4	NP_001803.2
XM_011531542.4	XP_011529844.1
NM_012108.4	NP_036240.1
NM_001317769.2	NP_001304698.1
NM_018227.6	NP_060697.4
XM_017008359.3	XP_016863848.1
XM_047415893.1	XP_047271849.1
NM_000406.3	NP_000397.1
NM_001012763.2	NP_001012781.1
NM_004262.3	NP_004253.1
XM_017008851.2	XP_016864340.1
NM_001114387.2	NP_001107859.1
NM_182606.4	NP_872412.3
NM_207407.2	NP_997290.2
XM_047415669.1	XP_047271625.1
XM_047415670.1	XP_047271626.1
XM_011531935.2	XP_011530237.1
XM_011531608.3	XP_011529910.1
NM_182502.3	NP_872308.2
XM_011531609.1	XP_011529911.1
NM_133370.4	NP_588611.2
XM_005265708.4	XP_005265765.1
NM_001031732.4	NP_001026902.1
NM_001330698.2	NP_001317627.1
NM_014058.4	NP_054777.2
XM_011531896.3	XP_011530198.1
XM_047450139.1	XP_047306095.1
NM_001077.4	NP_001068.1
NM_001076.4	NP_001067.2
NM_001075.6	NP_001066.1
XM_017008585.3	XP_016864074.1
NM_001144767.3	NP_001138239.1
NM_001290091.2	NP_001277020.1
NM_024743.4	NP_079019.3
XM_011532247.3	XP_011530549.1
XM_047416177.1	XP_047272133.1
NM_001349568.2	NP_001336497.1
NM_001074.4	NP_001065.2
NM_001330719.2	NP_001317648.1
XM_017007660.3	XP_016863149.1
XM_047449543.1	XP_047305499.1
XM_011531550.3	XP_011529852.1
NM_001073.3	NP_001064.1
NM_053039.2	NP_444267.1
XM_017008303.2	XP_016863792.1
NM_001207004.2	NP_001193933.1
NM_001297616.2	NP_001284545.1
NM_001297615.2	NP_001284544.1
NM_021139.3	NP_066962.2
NM_001301239.2	NP_001288168.1
NM_006798.5	NP_006789.3
NM_001252275.3	NP_001239204.2
NM_001252274.3	NP_001239203.2
NM_001389565.1	NP_001376494.1
NM_001301233.1	NP_001288162.1
NM_001105677.2	NP_001099147.2
NM_014465.4	NP_055280.2
XM_047416101.1	XP_047272057.1
NM_005420.3	NP_005411.1
XM_047416100.1	XP_047272056.1
XM_011532210.3	XP_011530512.1
NM_001890.2	NP_001881.1
XM_006714090.3	XP_006714153.1
XM_006714089.3	XP_006714152.1
NM_001025104.2	NP_001020275.1
XM_006714091.3	XP_006714154.1
NM_001385731.1	NP_001372660.1
NM_001302770.2	NP_001289699.1
NM_001891.4	NP_001882.1
NM_003154.3	NP_003145.1
NM_001009181.2	NP_001009181.1
NM_000200.3	NP_000191.1
NM_002159.4	NP_002150.1
NM_001368990.1	NP_001355919.1
XM_047450192.1	XP_047306148.1
NM_214711.4	NP_999876.2
NM_017855.4	NP_060325.3
NM_001385579.1	NP_001372508.1
XM_047415864.1	XP_047271820.1
XM_047415863.1	XP_047271819.1
XM_047415865.1	XP_047271821.1
NM_152997.4	NP_694542.1
NM_005212.3	NP_005203.2
XM_017007761.2	XP_016863250.1
NM_001394997.1	NP_001381926.1
NM_033122.4	NP_149113.3
NM_012390.4	NP_036522.3
NM_006685.4	NP_006676.1
NM_001302807.2	NP_001289736.1
NM_021225.5	NP_067048.4
NM_001145006.2	NP_001138478.1
XM_047415723.1	XP_047271679.1
NM_001145007.2	NP_001138479.1
NM_152291.3	NP_689504.2
NM_212557.4	NP_997722.1
NM_001286731.2	NP_001273660.1
NM_016519.6	NP_057603.1
NM_031889.3	NP_114095.2
NM_001368133.1	NP_001355062.1
NM_144646.4	NP_653247.1
NM_020368.3	NP_065101.1
XM_011531750.3	XP_011530052.1
XM_005265656.4	XP_005265713.1
XM_047449825.1	XP_047305781.1
XM_011531751.4	XP_011530053.1
XM_047449827.1	XP_047305783.1
XM_011531756.4	XP_011530058.1
XM_047449828.1	XP_047305784.1
XM_011531755.4	XP_011530057.1
NM_001130709.2	NP_001124181.1
NM_001037442.4	NP_001032519.1
XM_047449826.1	XP_047305782.1
XM_047449829.1	XP_047305785.1
XM_047449830.1	XP_047305786.1
NM_001291994.2	NP_001278923.1
NM_014961.5	NP_055776.1
NM_001291993.2	NP_001278922.1
XM_005265658.3	XP_005265715.1
NM_001345840.2	NP_001332769.1
XM_011531897.4	XP_011530199.1
NM_002092.4	NP_002083.4
NM_001098477.2	NP_001091947.1
XM_047450140.1	XP_047306096.1
XM_011532412.3	XP_011530714.1
XM_005265709.3	XP_005265766.1
NM_001244766.2	NP_001231695.1
NM_173468.4	NP_775739.1
NM_001244767.2	NP_001231696.1
XM_017008837.2	XP_016864326.1
NM_000788.3	NP_000779.1
XM_047449689.1	XP_047305645.1
XM_024454268.2	XP_024310036.1
XM_024454269.2	XP_024310037.1
NM_001134742.2	NP_001128214.1
NM_001098484.3	NP_001091954.1
XM_024454270.2	XP_024310038.1
XM_024454272.2	XP_024310040.1
XM_024454271.2	XP_024310039.1
XM_024454267.2	XP_024310035.1
NM_003759.4	NP_003750.1
XM_017008792.2	XP_016864281.1
XM_047416348.1	XP_047272304.1
XM_017008793.2	XP_016864282.1
XM_011532390.3	XP_011530692.1
NM_001204306.1	NP_001191235.1
NM_001204307.1	NP_001191236.1
XM_006714177.3	XP_006714240.1
NM_000583.4	NP_000574.2
NM_004885.3	NP_004876.3
XM_011531554.3	XP_011529856.2
NM_001144756.2	NP_001138228.1
NM_053036.3	NP_444264.1
XM_047449545.1	XP_047305501.1
NM_014243.3	NP_055058.2
XM_011532422.4	XP_011530724.1
XM_011532421.2	XP_011530723.1
NM_173827.4	NP_776188.1
XM_017008045.3	XP_016863534.1
NM_001297732.2	NP_001284661.1
XM_005265680.6	XP_005265737.1
NM_001297733.2	NP_001284662.1
NM_001300729.1	NP_001287658.1
XM_005265671.5	XP_005265728.1
NM_198889.3	NP_942592.1
NM_015574.2	NP_056389.1
XM_047450038.1	XP_047305994.1
NM_032217.5	NP_115593.3
XM_047450039.1	XP_047305995.1
XM_017008013.2	XP_016863502.1
XM_017008012.2	XP_016863501.1
XM_017008011.2	XP_016863500.1
NM_001286771.3	NP_001273700.1
XM_047450041.1	XP_047305997.1
XM_047450040.1	XP_047305996.1
XM_047450046.1	XP_047306002.1
XM_047450045.1	XP_047306001.1
XM_047450042.1	XP_047305998.1
XM_005265672.5	XP_005265729.1
XM_047450043.1	XP_047305999.1
XM_047450047.1	XP_047306003.1
XM_017008016.3	XP_016863505.1
XM_017008014.3	XP_016863503.1
XM_005265673.5	XP_005265730.1
XM_047450048.1	XP_047306004.1
XM_017008017.2	XP_016863506.1
XM_047450044.1	XP_047306000.1
XM_017008015.2	XP_016863504.1
NM_001134.3	NP_001125.1
NM_001354717.2	NP_001341646.2
NM_001133.2	NP_001124.1
XM_017007842.3	XP_016863331.1
XM_017007843.3	XP_016863332.1
XM_017007844.3	XP_016863333.1
XM_011531689.4	XP_011529991.1
NM_201431.2	NP_958834.1
XM_047449709.1	XP_047305665.1
NM_001270392.1	NP_001257321.1
NM_001270391.2	NP_001257320.1
NM_177532.5	NP_803876.1
XM_011531688.2	XP_011529990.1
XM_047449711.1	XP_047305667.1
XM_047449710.1	XP_047305666.1
XM_011531690.3	XP_011529992.1
XM_017007837.3	XP_016863326.1
XM_011531687.3	XP_011529989.1
XM_017007838.2	XP_016863327.1
XM_047449712.1	XP_047305668.1
NM_001354840.3	NP_001341769.1
NM_000584.4	NP_000575.1
NM_002993.4	NP_002984.1
NM_002620.4	NP_002611.1
NM_001511.4	NP_001502.1
NM_002619.4	NP_002610.1
NM_001363352.1	NP_001350281.1
NM_002704.3	NP_002695.1
NM_002994.5	NP_002985.1
NM_002090.3	NP_002081.2
NM_002089.4	NP_002080.1
XM_047415712.1	XP_047271668.1
XM_047415715.1	XP_047271671.1
XM_047415716.1	XP_047271672.1
XM_047415713.1	XP_047271669.1
XM_047415714.1	XP_047271670.1
XM_047415717.1	XP_047271673.1
XM_017008218.3	XP_016863707.1
NM_001351310.2	NP_001338239.1
NM_001351311.2	NP_001338240.1
NM_001351314.2	NP_001338243.1
NM_001004346.4	NP_001004346.2
NM_001144978.3	NP_001138450.1
XM_017008219.3	XP_016863708.2
XM_047415710.1	XP_047271666.1
XM_047415711.1	XP_047271667.1
XM_017008220.3	XP_016863709.2
XM_017008222.3	XP_016863711.2
NM_001351329.2	NP_001338258.1
NM_001351331.2	NP_001338260.1
XM_017008224.2	XP_016863713.1
NM_001270989.2	NP_001257918.1
NM_001270990.2	NP_001257919.1
NM_001270992.2	NP_001257921.1
XM_011531817.4	XP_011530119.1
NM_001270991.2	NP_001257920.1
NM_001270993.2	NP_001257922.1
NM_001013442.2	NP_001013460.1
NM_001432.3	NP_001423.1
NM_001657.4	NP_001648.1
NM_001316963.2	NP_001303892.1
XM_047416103.1	XP_047272059.1
NM_001729.4	NP_001720.1
XM_011532211.2	XP_011530513.1
XM_017008568.2	XP_016864057.1
XM_011531833.1	XP_011530135.1
NM_015393.4	NP_056208.2
NM_001387136.1	NP_001374065.1
XM_024453984.2	XP_024309752.1
XM_047450036.1	XP_047305992.1
NM_001278538.2	NP_001265467.1
NM_001278537.2	NP_001265466.1
NM_001278536.2	NP_001265465.1
NM_001387137.1	NP_001374066.1
NM_001009922.3	NP_001009922.1
NM_015436.4	NP_056251.2
NM_001278539.2	NP_001265468.1
XM_011531667.4	XP_011529969.1
XM_047449652.1	XP_047305608.1
XM_006714109.5	XP_006714172.1
XM_005262774.5	XP_005262831.1
XM_011531666.3	XP_011529968.1
XM_047449653.1	XP_047305609.1
XM_017007800.2	XP_016863289.1
NM_144721.6	NP_653322.1
XM_017007801.2	XP_016863290.1
NM_001317791.2	NP_001304720.1
XM_005262772.4	XP_005262829.1
NM_001257072.2	NP_001244001.1
NM_001206981.2	NP_001193910.1
NM_178497.5	NP_848592.2
XM_017008811.2	XP_016864300.1
XM_017008810.2	XP_016864299.1
NM_003948.5	NP_003939.1
XM_017008809.2	XP_016864298.1
NM_001330724.2	NP_001317653.1
XM_047416384.1	XP_047272340.1
